",""IE_4_5.1"",""IE_4_5.2"",""IE_4_5.3"",""IE_4_5.4"",""IE_4_5.5"",""IE_4_5.6"",""IE_4_5.7"",""IE_4_5.8"",""IE_4_5.9"",""IE_4_5.10"",""IE_4_5.11"",""IE_4_5.12"",""IE_4_5.13"",""IE_4_5.14"",""IE_4_5.15"",""IE_4_5.16"",""IE_4_5.17"""
SEP 2006,1966166,-47120,-2.34,-7.21,-1.70,1.28,-1.80,-4.60,-1.37,-1.21,1674735,3.51,11.98,24.92,88.02,1628793,1.02
OCT 2006,1992836,-60025,-2.92,0.58,-3.35,-4.84,-3.30,-5.65,-3.25,-2.75,1819192,11.12,13.17,26.95,86.83,1740195,7.97
NOV 2006,2023164,-72416,-3.46,-0.05,-3.87,-4.27,-3.86,-6.14,-3.17,-3.46,1660499,5.80,13.97,24.83,86.03,1558522,3.74
DIC 2006,2022873,-80064,-3.81,-3.25,-3.87,-5.72,-3.81,-6.36,-3.40,-3.28,1386283,4.26,16.96,23.90,83.04,1243877,-3.96
ENE 2007,2082508,-88995,-4.10,-2.42,-4.30,-5.45,-4.26,-7.02,-4.51,-3.58,1653150,12.27,15.45,20.97,84.55,1539604,8.61
FEB 2007,2075275,-94002,-4.33,-2.63,-4.54,-7.07,-4.45,-7.36,-4.37,-3.80,1408327,3.05,12.49,22.28,87.51,1365215,3.99
MAR 2007,2059451,-89079,-4.15,-2.43,-4.36,-5.73,-4.31,-6.70,-3.49,-3.91,1564432,0.57,12.35,22.91,87.65,1518896,1.62
ABR 2007,2023124,-52552,-2.53,0.28,-2.88,-2.19,-2.91,-6.01,-1.19,-2.48,1385980,6.27,12.19,22.84,87.81,1359927,7.14
MAY 2007,1973231,-31297,-1.56,0.35,-1.80,1.76,-1.93,-5.45,1.76,-1.74,1625492,-0.74,11.71,22.90,88.29,1586777,-0.52
JUN 2007,1965869,6115,0.31,2.97,-0.03,1.97,-0.10,-4.59,4.60,0.13,1582127,-4.45,11.27,23.39,88.73,1528767,-3.93
JUL 2007,1970338,15354,0.79,2.06,0.63,3.15,0.53,-3.87,7.29,0.35,1754918,5.03,10.30,24.89,89.70,1694359,6.24
AGO 2007,2028296,44619,2.25,2.19,2.26,6.05,2.12,-2.81,9.75,1.84,1287035,-2.71,9.91,22.51,90.09,1248734,-0.29
SEP 2007,2017363,51197,2.60,1.61,2.73,5.91,2.61,-2.65,10.78,2.36,1595921,-4.71,12.05,25.50,87.95,1584035,-2.75
